base,visibility,dt,timezone,id,name,cod,coord.lon,coord.lat,main.temp,main.feels_like,main.temp_min,main.temp_max,main.pressure,main.humidity,wind.speed,wind.deg,wind.gust,clouds.all,sys.type,sys.id,sys.country,sys.sunrise,sys.sunset,rain.1h,snow.1h,main.sea_level,main.grnd_level,rain.3h,snow.3h,weather.id,weather.main,weather.description,weather.icon
stations,2414.0,1670426445.0,-18000.0,5103384.0,Rochelle Park,200.0,-74.0763,40.9176,13.9,13.77,12.14,15.1,1021.0,93.0,1.54,180.0,,100.0,2.0,2008974.0,US,1670414854.0,1670448500.0,,,,,,,300,Drizzle,light intensity drizzle,09d
stations,402.0,1670426445.0,-18000.0,5144336.0,White Plains,200.0,-73.7592,41.0313,13.49,13.38,11.92,15.01,1022.0,95.0,1.54,140.0,,100.0,2.0,2079065.0,US,1670414798.0,1670448403.0,,,,,,,701,Mist,mist,50d
stations,10000.0,1670426445.0,-18000.0,5196220.0,King of Prussia,200.0,-75.3931,40.0892,12.21,11.86,11.1,13.51,1024.0,91.0,1.54,230.0,,100.0,2.0,2045646.0,US,1670415022.0,1670448965.0,,,,,,,741,Fog,fog,50d
stations,9656.0,1670426445.0,-21600.0,4740584.0,Wells Branch,200.0,-97.7252,30.4032,20.88,21.35,20.08,21.79,1021.0,89.0,4.12,190.0,,100.0,2.0,2003056.0,US,1670418895.0,1670455814.0,,,,,,,721,Haze,haze,50d
stations,4828.0,1670426445.0,-21600.0,4738606.0,University Park,200.0,-96.7723,32.8678,16.82,17.06,13.28,18.84,1021.0,96.0,2.24,85.0,1.79,100.0,2.0,2003709.0,US,1670419010.0,1670455242.0,0.8,,,,,,701,Mist,mist,50d
stations,10000.0,1670426200.0,-28800.0,5331920.0,Burlingame,200.0,-122.3672,37.5932,6.83,6.83,2.99,9.75,1022.0,93.0,0.0,0.0,,20.0,1.0,5817.0,US,1670425878.0,1670460662.0,,,,,,,701,Mist,mist,50d
stations,10000.0,1670426445.0,-28800.0,5350734.0,Fremont,200.0,-121.9441,37.4927,5.37,3.74,2.73,9.69,1022.0,94.0,2.06,170.0,,0.0,2.0,2007599.0,US,1670425760.0,1670460577.0,,,,,,,500,Rain,light rain,10d
stations,10000.0,1670426200.0,-28800.0,5364195.0,Ladera Heights,200.0,-118.383,33.976,9.12,7.97,5.86,11.36,1022.0,88.0,2.24,76.0,3.58,40.0,2.0,2009902.0,US,1670424360.0,1670460267.0,,,,,,,741,Fog,fog,50d
stations,10000.0,1670426445.0,-28800.0,5408522.0,"Westwood, Los Angeles",200.0,-118.4456,34.0475,8.44,8.44,5.22,10.91,1015.0,88.0,0.0,0.0,,40.0,1.0,5872.0,US,1670424386.0,1670460272.0,,,,,,,721,Haze,haze,50d
stations,10000.0,1670426445.0,-28800.0,5368335.0,Los Altos,200.0,-122.1243,37.4112,5.74,4.17,2.67,9.99,1021.0,94.0,2.06,170.0,,0.0,1.0,5310.0,US,1670425790.0,1670460634.0,,,,,,,802,Clouds,scattered clouds,03d
stations,10000.0,1670426445.0,-28800.0,5388319.0,Rocklin,200.0,-121.2105,38.8005,3.59,3.59,0.42,7.23,1020.0,86.0,1.31,107.0,1.41,0.0,2.0,2010271.0,US,1670425801.0,1670460184.0,,,,,,,802,Clouds,scattered clouds,03d
stations,10000.0,1670426445.0,-28800.0,5400075.0,Sunnyvale,200.0,-122.02,37.3575,5.31,3.67,2.51,9.21,1021.0,93.0,2.06,170.0,,0.0,2.0,2035564.0,US,1670425757.0,1670460617.0,,,,,,,721,Haze,haze,50d
stations,10000.0,1670426445.0,-28800.0,5367767.0,Lomita,200.0,-118.3317,33.8113,9.04,7.88,6.04,11.23,1021.0,90.0,2.24,57.0,,40.0,1.0,6037.0,US,1670424324.0,1670460279.0,,,,,,,800,Clear,clear sky,01d
stations,10000.0,1670426445.0,-28800.0,5395244.0,Sherman Oaks,200.0,-118.4933,34.1963,6.76,6.76,3.65,9.91,1006.0,88.0,0.0,0.0,,0.0,1.0,6183.0,US,1670424419.0,1670460261.0,,,,,,,721,Haze,haze,50d
stations,8047.0,1670426445.0,-18000.0,4838652.0,Milford,200.0,-73.0522,41.2314,13.36,13.21,12.17,14.92,1024.0,94.0,4.12,200.0,,100.0,2.0,2003346.0,US,1670414665.0,1670448197.0,,,,,,,701,Mist,mist,50d
stations,10000.0,1670426445.0,-18000.0,7189969.0,Trailer Terrace Mobile Home Park,200.0,-81.5908,30.2286,22.09,22.39,20.53,24.1,1027.0,78.0,3.09,340.0,,20.0,1.0,5093.0,US,1670414997.0,1670451965.0,,,,,,,800,Clear,clear sky,01d
stations,10000.0,1670426445.0,-18000.0,4151871.0,Coral Gables,200.0,-80.2569,25.7352,26.76,28.32,25.55,27.77,1024.0,68.0,5.14,60.0,,20.0,2.0,2009435.0,US,1670414098.0,1670452224.0,,,,,,,701,Mist,mist,50d
stations,4828.0,1670426445.0,-18000.0,4207783.0,Marietta,200.0,-84.512,33.941,15.51,15.62,12.82,17.88,1025.0,96.0,2.06,220.0,,100.0,1.0,4877.0,US,1670416222.0,1670452143.0,,,,,,,801,Clouds,few clouds,02d
stations,3219.0,1670426445.0,-21600.0,4887398.0,Chicago,200.0,-87.6542,41.8908,3.97,1.62,2.83,4.65,1025.0,93.0,2.57,100.0,,100.0,2.0,2005153.0,US,1670418294.0,1670451579.0,,,,,,,801,Clouds,few clouds,02d
stations,2414.0,1670426445.0,-21600.0,4895876.0,Highland Park,200.0,-87.8162,42.1743,3.22,0.73,1.77,4.47,1023.0,93.0,2.57,330.0,,100.0,2.0,2036460.0,US,1670418387.0,1670451564.0,,,,,,,701,Mist,mist,50d
stations,2414.0,1670426445.0,-21600.0,4914830.0,Villa Park,200.0,-87.9731,41.9074,3.46,1.51,2.23,4.49,1023.0,92.0,2.06,290.0,,100.0,2.0,2033007.0,US,1670418374.0,1670451652.0,,,,,,,701,Mist,mist,50d
stations,8047.0,1670426445.0,-18000.0,4954611.0,Watertown,200.0,-71.204,42.3669,12.11,11.83,10.28,13.59,1021.0,94.0,5.66,160.0,,100.0,2.0,2013673.0,US,1670414434.0,1670447541.0,,,,,,,804,Clouds,overcast clouds,04d
stations,4023.0,1670426445.0,-18000.0,4988997.0,Clarkston,200.0,-83.4506,42.7358,4.48,4.48,3.66,5.46,1022.0,91.0,0.0,0.0,,100.0,1.0,5424.0,US,1670417446.0,1670450409.0,,,,,,,701,Mist,mist,50d
stations,805.0,1670426445.0,-21600.0,5043944.0,Rowland,200.0,-93.3998,44.8787,-8.65,-15.02,-9.99,-7.27,1027.0,83.0,4.12,20.0,,100.0,2.0,2002101.0,US,1670420269.0,1670452363.0,,0.25,,,,,701,Mist,mist,50d
stations,2414.0,1670426000.0,-18000.0,5104952.0,Springfield,200.0,-74.3155,40.6861,13.64,13.62,12.06,14.82,1022.0,98.0,2.06,160.0,,100.0,2.0,2037023.0,US,1670414869.0,1670448600.0,,,,,,,721,Haze,haze,50d
stations,10000.0,1670426445.0,-28800.0,5503766.0,Enterprise,200.0,-115.2287,36.0622,4.9,1.67,2.54,6.75,1019.0,63.0,4.12,220.0,,40.0,1.0,4664.0,US,1670423920.0,1670459193.0,,,,,,,601,Snow,snow,13d
stations,4023.0,1670425753.0,-18000.0,5122638.0,Jericho,200.0,-73.5154,40.8004,13.07,12.76,11.87,14.54,1022.0,89.0,2.68,196.0,4.92,100.0,2.0,2005400.0,US,1670414698.0,1670448387.0,,,,,,,701,Mist,mist,50d
stations,402.0,1670426001.0,-18000.0,5127744.0,Mount Kisco,200.0,-73.7274,41.2121,13.44,13.37,12.03,14.32,1021.0,97.0,0.45,141.0,0.45,100.0,2.0,2018900.0,US,1670414824.0,1670448363.0,,,,,,,802,Clouds,scattered clouds,03d
stations,3219.0,1670426445.0,-18000.0,5125125.0,Long Island City,200.0,-73.9352,40.7382,13.62,13.49,12.11,14.82,1022.0,94.0,1.54,0.0,,100.0,2.0,2002197.0,US,1670414787.0,1670448499.0,,,,,,,701,Mist,mist,50d
stations,8047.0,1670426445.0,-18000.0,4509986.0,Deer Park,200.0,-84.389,39.2125,10.57,10.19,9.02,11.85,1019.0,96.0,0.45,179.0,1.34,100.0,2.0,2002871.0,US,1670417029.0,1670451276.0,,,,,,,741,Fog,fog,50d
stations,2414.0,1670425999.0,-18000.0,5161493.0,Lyndhurst,200.0,-81.4931,41.5192,7.01,6.19,5.75,8.39,1020.0,98.0,1.54,20.0,,100.0,2.0,2040938.0,US,1670416745.0,1670450170.0,,,,,,,701,Mist,mist,50d
stations,8047.0,1670426445.0,-21600.0,4538142.0,Guthrie,200.0,-97.4276,35.855,7.03,7.03,6.29,7.89,1023.0,89.0,0.0,0.0,,100.0,1.0,4242.0,US,1670419613.0,1670454953.0,,,,,,,701,Mist,mist,50d
stations,10000.0,1670426445.0,-21600.0,4614286.0,Clovercroft,200.0,-86.8041,35.9692,18.81,19.23,18.02,19.58,1024.0,95.0,1.79,210.0,3.13,100.0,2.0,2041455.0,US,1670417079.0,1670452386.0,,,,,,,701,Mist,mist,50d
stations,4828.0,1670426445.0,-21600.0,4719310.0,Piney Point Village,200.0,-95.551,29.7227,22.72,23.45,21.25,23.49,1022.0,92.0,3.6,170.0,,75.0,2.0,2038411.0,US,1670418281.0,1670455383.0,,,,,,,701,Mist,mist,50d
stations,9656.0,1670426445.0,-25200.0,5781794.0,South Salt Lake,200.0,-111.8884,40.7209,-3.13,-7.35,-8.28,-1.08,1022.0,85.0,3.09,10.0,,100.0,2.0,2030157.0,US,1670423899.0,1670457610.0,,,,,,,804,Clouds,overcast clouds,04d
stations,10000.0,1670426001.0,-28800.0,5786882.0,Bellevue,200.0,-122.1607,47.6266,3.85,1.06,1.49,5.91,1020.0,93.0,3.09,140.0,,100.0,2.0,2016501.0,US,1670427791.0,1670458650.0,,,,,,,701,Mist,mist,50d
stations,10000.0,1670426445.0,-28800.0,5809844.0,Seattle,200.0,-122.3388,47.6231,4.55,1.9,1.83,6.25,1020.0,91.0,3.09,140.0,,100.0,2.0,2006528.0,US,1670427833.0,1670458693.0,,,,,,,721,Haze,haze,50d
stations,10000.0,1670426003.0,-18000.0,4175136.0,The Meadows,200.0,-82.4464,27.3905,23.51,23.61,21.12,26.23,1026.0,65.0,2.57,80.0,,0.0,2.0,2007152.0,US,1670414831.0,1670452542.0,,,,,,,804,Clouds,overcast clouds,04n
stations,10000.0,1670426001.0,-28800.0,5366549.0,Linda Vista (historical),200.0,-117.1549,32.892,8.79,7.0,5.99,11.28,1021.0,87.0,3.09,80.0,,75.0,1.0,5095.0,US,1670423908.0,1670460130.0,,,,,,,804,Clouds,overcast clouds,04n
stations,10000.0,1670426445.0,-28800.0,5342707.0,Desert Hills Trailer Park,200.0,-116.4751,33.7861,9.38,7.45,5.65,12.75,1019.0,63.0,3.58,309.0,6.71,0.0,1.0,5412.0,US,1670423874.0,1670459837.0,,,,,,,800,Clear,clear sky,01d
stations,8047.0,1670426445.0,-18000.0,5186852.0,Devon,200.0,-75.4333,40.0459,11.53,11.17,10.48,12.87,1021.0,93.0,1.54,230.0,,100.0,2.0,2003125.0,US,1670415024.0,1670448982.0,,,,,,,803,Clouds,broken clouds,04d
stations,402.0,1670426445.0,-28800.0,5344157.0,Dublin,200.0,-121.9249,37.7028,5.09,2.55,2.1,8.92,1022.0,93.0,3.09,50.0,,100.0,2.0,2016191.0,US,1670425790.0,1670460538.0,,,,,,,800,Clear,clear sky,01d
stations,10000.0,1670426201.0,-18000.0,4790534.0,Tysons Corner,200.0,-77.2377,38.9256,10.56,10.07,9.29,11.63,1021.0,92.0,4.12,180.0,,100.0,2.0,2005335.0,US,1670415263.0,1670449609.0,,,,,,,701,Mist,mist,50d
stations,10000.0,1670426201.0,-28800.0,5381574.0,Paularino,200.0,-117.8826,33.6733,9.25,9.25,5.99,11.36,1021.0,91.0,0.0,0.0,,75.0,1.0,5876.0,US,1670424196.0,1670460192.0,,,,,,,741,Fog,fog,50d
stations,1609.0,1670426445.0,-18000.0,4212992.0,North Decatur,200.0,-84.2854,33.7932,15.69,15.59,12.61,18.47,1025.0,87.0,1.54,210.0,,100.0,2.0,2012190.0,US,1670416146.0,1670452110.0,,,,,,,701,Mist,mist,50d
stations,2414.0,1670426001.0,-18000.0,5102387.0,Paramus,200.0,-74.0685,40.9627,13.8,13.69,12.51,14.82,1021.0,94.0,1.54,180.0,,100.0,2.0,2003088.0,US,1670414860.0,1670448490.0,,,,,,,803,Clouds,broken clouds,04d
stations,10000.0,1670426445.0,-28800.0,5373614.0,Mission Canyon,200.0,-119.7454,34.4336,8.43,7.56,3.69,11.32,1022.0,82.0,1.79,132.0,2.68,0.0,2.0,2010150.0,US,1670424755.0,1670460526.0,,,,,,,701,Mist,mist,50d
stations,10000.0,1670426001.0,-18000.0,4154127.0,Eatonville,200.0,-81.3932,28.6175,22.78,23.25,20.99,24.39,1026.0,82.0,2.06,20.0,,40.0,2.0,19760.0,US,1670414736.0,1670452131.0,,,,,,,701,Mist,mist,50d
stations,4828.0,1670426445.0,-18000.0,4207783.0,Marietta,200.0,-84.512,33.9411,15.5,15.61,12.82,17.88,1025.0,96.0,2.06,220.0,,100.0,1.0,4877.0,US,1670416222.0,1670452143.0,,,,,,,300,Drizzle,light intensity drizzle,09d
stations,10000.0,1670426445.0,-28800.0,5355828.0,Hawthorne,200.0,-118.3298,33.9214,9.12,7.97,6.07,11.26,1022.0,89.0,2.24,76.0,3.58,0.0,1.0,4361.0,US,1670424340.0,1670460262.0,,,,,,,800,Clear,clear sky,01d
stations,10000.0,1670426445.0,-28800.0,5365425.0,Lathrop,200.0,-121.299,37.7997,3.64,3.64,2.04,5.69,1022.0,91.0,0.0,0.0,,0.0,2.0,58095.0,US,1670425656.0,1670460372.0,,,,,,,802,Clouds,scattered clouds,03d
stations,10000.0,1670426445.0,-28800.0,5368346.0,Los Altos Hills,200.0,-122.1503,37.3948,5.52,3.91,2.36,9.68,1020.0,94.0,2.06,170.0,,0.0,2.0,2007814.0,US,1670425794.0,1670460642.0,,,,,,,701,Mist,mist,50d
stations,10000.0,1670426445.0,-28800.0,5323631.0,Alviso,200.0,-121.9781,37.3939,5.34,3.7,2.73,8.41,1023.0,93.0,2.06,170.0,,20.0,2.0,2035564.0,US,1670425752.0,1670460601.0,,,,,,,800,Clear,clear sky,01d
stations,10000.0,1670426445.0,-28800.0,5323631.0,Alviso,200.0,-121.9513,37.4939,5.4,3.77,2.73,9.69,1022.0,94.0,2.06,170.0,,0.0,2.0,2007599.0,US,1670425762.0,1670460579.0,,,,,,,800,Clear,clear sky,01d
stations,6437.0,1670426445.0,-18000.0,4528463.0,Wilmington,200.0,-83.7862,39.4294,10.41,9.88,8.49,11.4,1021.0,91.0,2.06,260.0,,100.0,1.0,4523.0,US,1670416922.0,1670451094.0,,,,,,,721,Haze,haze,50d
stations,10000.0,1670426445.0,-18000.0,4478334.0,Matthews,200.0,-80.7188,35.1403,12.66,12.49,11.01,14.41,1024.0,96.0,3.06,226.0,10.69,100.0,2.0,2006413.0,US,1670415490.0,1670451053.0,,,,,,,721,Haze,haze,50d
stations,4828.0,1670426445.0,-21600.0,4670146.0,Aldine,200.0,-95.4212,29.9805,22.54,23.33,21.53,23.43,1023.0,95.0,2.06,160.0,,100.0,2.0,2017812.0,US,1670418285.0,1670455318.0,,,,,,,721,Haze,haze,50d
stations,4828.0,1670426201.0,-18000.0,4934664.0,Dedham,200.0,-71.1782,42.2359,12.07,11.81,10.47,13.42,1023.0,95.0,10.73,177.0,16.54,100.0,2.0,2031020.0,US,1670414403.0,1670447560.0,0.8,,,,,,701,Mist,mist,50d
stations,10000.0,1670426445.0,-28800.0,5331835.0,Burbank,200.0,-118.3013,34.1748,7.65,7.65,4.6,10.28,1020.0,86.0,0.45,15.0,0.89,0.0,1.0,3514.0,US,1670424370.0,1670460218.0,,,,,,,804,Clouds,overcast clouds,04d
stations,9656.0,1670426445.0,-21600.0,4701458.0,Jollyville,200.0,-97.7701,30.435,20.55,20.98,19.66,21.47,1021.0,89.0,4.12,190.0,,100.0,2.0,2005380.0,US,1670418910.0,1670455820.0,,,,,,,701,Mist,mist,50d
stations,10000.0,1670426445.0,-28800.0,5504003.0,Fernley,200.0,-119.4616,39.548,-5.9,-9.1,-8.32,-3.39,1024.0,79.0,1.85,235.0,1.87,8.0,2.0,2045877.0,US,1670425510.0,1670459636.0,,,1024.0,865.0,,,701,Mist,mist,50d
stations,8047.0,1670426445.0,-18000.0,4506754.0,Blue Ash,200.0,-84.3838,39.2245,10.57,10.19,9.04,11.86,1022.0,96.0,1.54,260.0,,100.0,2.0,2002871.0,US,1670417030.0,1670451273.0,,,,,,,500,Rain,light rain,10d
stations,10000.0,1670426000.0,-28800.0,5395244.0,Sherman Oaks,200.0,-118.493,34.1964,6.78,6.78,3.95,9.91,1006.0,88.0,0.0,0.0,,0.0,1.0,6183.0,US,1670424419.0,1670460261.0,,,,,,,800,Clear,clear sky,01d
stations,10000.0,1670426445.0,-28800.0,5373327.0,Milpitas,200.0,-121.9322,37.4788,5.32,3.68,2.72,9.54,1022.0,94.0,2.06,170.0,,0.0,2.0,2007599.0,US,1670425755.0,1670460576.0,,,,,,,701,Mist,mist,50d
stations,10000.0,1670426445.0,-28800.0,5392567.0,San Rafael,200.0,-122.516,37.9634,7.41,7.41,2.8,10.61,1021.0,90.0,0.6,349.0,0.85,0.0,2.0,2007882.0,US,1670425975.0,1670460637.0,,,,,,,800,Clear,clear sky,01d
stations,10000.0,1670426445.0,-28800.0,5394136.0,Seaside,200.0,-121.8438,36.6171,5.12,2.98,3.21,6.25,1022.0,87.0,2.57,110.0,,0.0,1.0,4980.0,US,1670425596.0,1670460694.0,,,,,,,701,Mist,mist,50d
stations,10000.0,1670426201.0,-28800.0,5350734.0,Fremont,200.0,-121.9886,37.5485,5.57,3.13,2.66,9.98,1022.0,93.0,3.09,50.0,,0.0,2.0,2075054.0,US,1670425780.0,1670460579.0,,,,,,,800,Clear,clear sky,01d
stations,10000.0,1670426445.0,-28800.0,5323631.0,Alviso,200.0,-121.9882,37.406,5.44,3.82,2.75,9.56,1023.0,93.0,2.06,170.0,,0.0,2.0,2035564.0,US,1670425757.0,1670460602.0,,,,,,,721,Haze,haze,50d
stations,3219.0,1670426445.0,-18000.0,5128581.0,New York,200.0,-74.0066,40.6831,13.78,13.69,12.2,14.91,1022.0,95.0,2.06,160.0,,100.0,2.0,2037026.0,US,1670414795.0,1670448526.0,,,,,,,800,Clear,clear sky,01d
stations,4828.0,1670426445.0,-21600.0,4719310.0,Piney Point Village,200.0,-95.5375,29.7362,22.72,23.45,21.25,23.49,1022.0,92.0,3.6,170.0,,75.0,2.0,2016264.0,US,1670418280.0,1670455378.0,,,,,,,800,Clear,clear sky,01d
stations,10000.0,1670426001.0,-28800.0,5350734.0,Fremont,200.0,-121.9488,37.4957,5.39,3.76,2.73,9.69,1022.0,93.0,2.06,170.0,,0.0,2.0,2007599.0,US,1670425762.0,1670460578.0,,,,,,,800,Clear,clear sky,01d
stations,10000.0,1670426445.0,-28800.0,5504003.0,Fernley,200.0,-119.4637,39.5492,-5.91,-9.09,-8.32,-3.39,1024.0,79.0,1.84,235.0,1.87,8.0,2.0,2045877.0,US,1670425510.0,1670459636.0,,,1024.0,865.0,,,721,Haze,haze,50d
stations,10000.0,1670425761.0,-28800.0,5373327.0,Milpitas,200.0,-121.9399,37.4803,5.37,3.74,2.75,9.56,1022.0,93.0,2.06,170.0,,0.0,2.0,2007599.0,US,1670425757.0,1670460578.0,,,,,,,701,Mist,mist,50d
stations,8047.0,1670426445.0,-18000.0,5100356.0,Lawrenceville,200.0,-74.6832,40.2975,13.3,13.22,11.9,14.35,1021.0,97.0,3.09,200.0,,100.0,2.0,2032212.0,US,1670414888.0,1670448757.0,,,,,,,701,Mist,mist,50d
stations,10000.0,1670426201.0,-28800.0,5391959.0,San Francisco,200.0,-122.4216,37.7845,7.2,5.72,2.78,9.53,1021.0,92.0,2.24,114.0,4.47,20.0,2.0,2017837.0,US,1670425923.0,1670460644.0,,,,,,,721,Haze,haze,50d
stations,8047.0,1670426445.0,-28800.0,5331575.0,Buena Park,200.0,-117.9907,33.8636,8.61,8.61,6.03,11.22,1021.0,90.0,0.0,0.0,,0.0,1.0,4154.0,US,1670424250.0,1670460190.0,,,,,,,800,Clear,clear sky,01d
stations,10000.0,1670426445.0,-21600.0,4684330.0,Cross Mountain,200.0,-98.6263,29.6553,19.79,20.23,18.99,21.02,1022.0,92.0,1.34,341.0,,100.0,2.0,2008723.0,US,1670419011.0,1670456131.0,,,,,,,721,Haze,haze,50d
stations,4828.0,1670426445.0,-18000.0,4257494.0,Fishers,200.0,-86.0713,39.907,6.53,4.66,5.61,8.05,1018.0,82.0,2.57,340.0,,100.0,2.0,2003587.0,US,1670417554.0,1670451559.0,,,,,,,701,Mist,mist,50d
stations,10000.0,1670426445.0,-28800.0,5350734.0,Fremont,200.0,-121.9411,37.4939,5.35,3.72,2.71,9.67,1022.0,94.0,2.06,170.0,,0.0,2.0,2007599.0,US,1670425760.0,1670460576.0,,,,,,,741,Fog,fog,50d
stations,10000.0,1670426001.0,-28800.0,5355828.0,Hawthorne,200.0,-118.3347,33.9204,9.17,8.41,6.07,11.26,1022.0,89.0,1.79,74.0,3.13,0.0,1.0,4361.0,US,1670424341.0,1670460264.0,,,,,,,701,Mist,mist,50d
stations,10000.0,1670426201.0,-28800.0,5786882.0,Bellevue,200.0,-122.1478,47.6295,3.67,0.84,1.33,5.75,1020.0,93.0,3.09,140.0,,100.0,2.0,2016501.0,US,1670427789.0,1670458646.0,,,,,,,804,Clouds,overcast clouds,04d
stations,10000.0,1670426445.0,-18000.0,5181428.0,Bradford Woods,200.0,-80.0711,40.6461,12.09,11.84,10.37,17.01,1020.0,95.0,1.54,280.0,,100.0,2.0,2001980.0,US,1670416244.0,1670449988.0,,,,,,,804,Clouds,overcast clouds,04d
stations,10000.0,1670426445.0,-21600.0,4852832.0,Council Bluffs,200.0,-95.8263,41.2413,-0.73,-3.38,-2.06,0.78,1022.0,76.0,2.06,250.0,,0.0,1.0,3571.0,US,1670420136.0,1670453661.0,,,,,,,721,Haze,haze,50d
stations,4828.0,1670426445.0,-18000.0,4988175.0,Cascade,200.0,-85.5348,42.8636,4.09,4.09,2.45,5.53,1019.0,86.0,0.45,175.0,1.34,20.0,1.0,4269.0,US,1670417972.0,1670450884.0,,,,,,,800,Clear,clear sky,01d
stations,10000.0,1670426445.0,-28800.0,5365425.0,Lathrop,200.0,-121.2921,37.7985,3.64,3.64,2.05,5.7,1022.0,91.0,0.0,0.0,,0.0,2.0,58095.0,US,1670425654.0,1670460371.0,,,,,,,804,Clouds,overcast clouds,04n
stations,10000.0,1670426445.0,-28800.0,5408522.0,"Westwood, Los Angeles",200.0,-118.4182,34.0581,8.37,8.37,5.13,10.82,1015.0,87.0,0.0,0.0,,40.0,1.0,5872.0,US,1670424381.0,1670460263.0,,,,,,,804,Clouds,overcast clouds,04d
stations,10000.0,1670426445.0,-28800.0,5406990.0,Walnut Creek,200.0,-122.0581,37.8962,6.14,4.64,2.48,9.37,1022.0,91.0,2.06,140.0,,0.0,2.0,2011425.0,US,1670425854.0,1670460538.0,,,,,,,800,Clear,clear sky,01d
stations,10000.0,1670426001.0,-18000.0,4155995.0,Fort Myers,200.0,-81.8102,26.6139,25.06,25.55,22.19,26.08,1024.0,74.0,4.63,40.0,,0.0,1.0,4122.0,US,1670414580.0,1670452487.0,,,,,,,701,Mist,mist,50d
stations,10000.0,1670426000.0,-28800.0,5373327.0,Milpitas,200.0,-121.9269,37.469,5.3,3.66,2.71,9.53,1022.0,93.0,2.06,170.0,,20.0,2.0,2007599.0,US,1670425752.0,1670460577.0,,,,,,,800,Clear,clear sky,01d
stations,4828.0,1670426445.0,-21600.0,4697616.0,Highland Park,200.0,-96.8375,32.8324,17.07,17.34,13.51,20.02,1021.0,96.0,2.24,85.0,1.79,100.0,1.0,3783.0,US,1670419020.0,1670455262.0,,,,,,,802,Clouds,scattered clouds,03d
stations,10000.0,1670426001.0,-28800.0,5746545.0,Portland,200.0,-122.6728,45.4903,3.59,1.66,1.65,5.03,1022.0,93.0,2.06,190.0,,100.0,2.0,2005477.0,US,1670427430.0,1670459257.0,,,,,,,800,Clear,clear sky,01d
stations,10000.0,1670426445.0,-25200.0,5317058.0,Tempe,200.0,-111.8973,33.4217,11.99,11.59,9.81,14.47,1024.0,90.0,2.06,120.0,,75.0,2.0,2077260.0,US,1670422722.0,1670458792.0,,,,,,,800,Clear,clear sky,01d
